Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,160193242090.427,159357789772.207,174685791563.561,170031005016.259,172219461126.067,190905493539.168,199072058823.529,217827260805.842,255110181539.808,306144336269.51,344622003093.581,429028505365.078,533609081852.897,439737508413.192,479834179020.33,528301269069.799,498523568248.119,521016262734.924,542477096211.761,477811911394.084,472630364208.177,526508877305.321,587408980271.71,595862086928.211,594164690894.936
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.6362,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3199642579.96974,2258515610.08862,2545967253.2416,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.10781,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,46941582519.4661,48177612042.1507,48187747528.899,48640653469.3025,54790379458.8877,54744725765.7191,56760318215.3036,67863841333.4195,85332581188.6107,103198251003.394,117027321306.159,134977125918.571,171000653424.751,137211049535.152,161207310515.42,200013038488.906,209058991952.125,209755003250.664,213810023703.446,165979173991.026,160034162957.738,170097230857.956,175414987760.927,171157803367.473,145163902228.168
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,7526963963.96396,7649716157.20524,6506619144.60285,6152936539.21955,9129634978.33773,8936063723.20121,15285594828.418,17812705294.325,23552052407.5488,36970918699.2523,52381006892.038,65266452081.386,88538611205.1433,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,62306913444.2917
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,633729629.62963,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,517626700412.885,445445177459.453,383066977653.56
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1379960893.85475,1531944134.07821,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,400302731411.229,434568007512.913,398899138574.239,388608221581.652,415222633925.768,378376086723.194,394648911678.527,466488060570.763,612490396927.017,693407758231.845,746054207846.661,853099630996.31,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416207272209.538,454872626780.005,445075391688.156,428965397959.456
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,3176333837.03359,3962238113.16021,4446368570.6901,4581432038.83495,5272798390.70183,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
Bahamas, The,BHS,GDP (current US$),NY.GDP.MKTP.CD,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000,11250000000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37652500000,38474521276.5957,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302563398919.928,324239176765.053
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4365500000
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,14756846153.8462,14108846153.8462,15264369565.2174,12152867469.8795,12738912133.8912,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,279201433224.756,252708051420.839,258528339631.029,258158533986.789,236204532891.1,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543410654016.602,533254518108.234,515332499627.861
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,641660005.32063,654582899.944045,689140012.18537,732732353.17635,832072464.652775,868358727.467205,925197971.508255,983575615.245365,1051386576.48391,1102564880.0365,1210603726.50843,1271598044.64669,1351338648.58457,1317309445.60202,1377177082.6384,1460797903.23406,1522897506.07849,1579411253.00514,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1763696118.9519
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2361116448.13533,2268301645.09366,2455092688.1478,3677393996.83767,3519991440.3235,3666222633.83624,4194342689.26268,5349258092.89116,6190270377.07555,6567654958.7537,7034111316.29919,8169048374.70783,9787734516.7416,9738626509.93364,9535345011.48797,10693321370.036,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14250987026.0533,14391686309.033,15651545208.8783
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,303435517.922664,352260952.905536,363452787.203102,399268801.672085,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2530547157.56678,2409262838.21987
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.10651,11451869164.7112,13120183156.7149,16674324634.2373,17339992165.2422,19649631308.1648,23963033429.4364,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36688861202.6049
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,2786045321.63743,3671816504.23851,4116699437.4041,4685733115.46841,5505887894.48893,5748993411.42021,6651106833.49374,8369878822.85055,10596205714.2857,11222953519.4252,12864610993.5219,15778767669.6991,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16211541820.2438,16913330693.9653,18080118128.3854,20183510561.2553,20202479537.5193,19788422248.1072
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,10137883299.3156,10939053365.4786,10945070441.9283,10267133177.7334,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,16250781586.6579,14420593484.0557,15646354089.458,17405588070.4332,18663265549.0196,18362348887.5873,15781732825.8934
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,850426432991.742,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630177251.068,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616200980392.16,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1877810514260.36,1444733258971.65
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,5115602836.87943,5197332974.13793,4051147227.53346,4600000000,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422941.3919,12016056665.3473
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,12294221472.7375,11315986087.1633,15030695296.5235,13627323284.5405,13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50381825504.2642,57386216850.3377,54033250328.5151,55615397665.5809,56901994980.3283,50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5775,68558815111.6199,69105101089.5531
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2586550747.09844,2447668984.53131,2804902248.28537,3389566982.51573,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135191.46216,2235820808.72913,2333308059.02403,2451625280.19537,2705783330.38791,3104394792.28413,2959641046.92291,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1769787215.42141,1966983316.32593,1981845740.70615,1703698676.69742
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,3506695719.5716,3443413388.70675,3120425502.56967,3517242477.23368,3654031716.27649,3984000517.01899,4284028482.54971,4658246918.26014,5337833248.02828,6293046161.82646,7274595706.66355,8639235842.17756,10351914093.1626,10401851850.6062,11242275198.9706,12829541141.0175,14054443213.4731,15227991395.2235,16702610842.4106,18049954289.4301,20016747754.0153,22177200511.5882,24571753583.504,27089389786.9684,25291251427.3979
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,10313258944.7337,10043438502.858,10831221907.1117,10706445653.2883,10109045070.7398,10380401988.7009,11634008832.7568,14581533773.0433,17462229588.9923,17951220881.4502,19373256211.0279,22394848085.2894,26516681614.3498,26122645990.7794,26169323292.5278,29375448542.4466,29102772799.0038,32357345500.9885,34989493826.2179,30928653813.8538,32643697595.8378,35009262788.15,38694156862.9922,39007354359.2798,39802147568.2174
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,628546387972.131,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1721853332869.63,1741576393905.98,1643407977068.93
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,4200439457.5783,4466438857.5543,4586114124.56498,4281868714.74859,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,2059094048.26019,2142591539.43547,2437982706.57518,2510126509.99477,1691544110.69163,1894813389.88179,1695825714.24273,1825018144.46194,2072349974.15257,2220979144.52018,2220307318.74886,2303078337.57431
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1607345450.04578,1544689502.82472,1744794457.276,1534673583.2487,1388506726.62093,1710843360.64955,1997005786.54118,2742815194.54993,4422855929.21428,6649307057.03314,7428701809.40597,8650138068.63161,10393834720.852,9290728773.35723,10668102734.8132,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10093118570.2918
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..,..,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.073,154788024805.808,173605968179.255,179638496278.574,172389498444.62,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260541637327.864,243919079437.373,250440149690.889,277034675515.671,297571693064.212,279385487344.526,252940023046.011
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,863746717507.397,961603952954.233,1029043097558.91,1093997267277.1,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.061,161618581266.316,206181826825.28,242186950900.775,232397835678.336,286563105192.456,334943871931.745,370921320483.841,382116126448.554,381112119657.445,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271346896626.418
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,396053797.633321,364445589.702365,370106776.043329,382454989.945311,351136568.441921,378512003.405071,425964697.418664,546885184.990174,633706149.25026,653845122.872074,698431827.740958,795673128.485442,915659192.825112,905341090.570115,907978731.702123,1023086272.69622,1015843491.24635,1116224107.17116,1149587659.74502,966029599.801228,1012835492.51575,1077439756.12221,1178530633.81547,1165839899.80269,1219690024.50287
Congo, Dem. Rep.,COD,GDP (current US$),NY.GDP.MKTP.CD,5772020526.10602,6091061291.30501,6215716712.29467,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,46831342212.5473,50400746171.4239,49868970641.1062
